이름,최영우
생년월일,2001. 7. 5.
기록된 날짜,2023-07-10 23:18:38 +0900
분류,동리듬
증상,
소프트웨어 버전,1.90
기기,"Watch6,6"
샘플률,512헤르츠
유도,유도 I
단위,µV
60.844,23:18:38.000
38.027,23:18:38.001
31.552,23:18:38.003
42.5,23:18:38.005
62.386,23:18:38.007
84.091,23:18:38.009
99.684,23:18:38.011
106.544,23:18:38.013
109.49,23:18:38.015
111.008,23:18:38.017
112.246,23:18:38.019
113.479,23:18:38.021
112.549,23:18:38.023
108.969,23:18:38.025
103.944,23:18:38.027
98.125,23:18:38.029
92.099,23:18:38.031
86.308,23:18:38.033
80.796,23:18:38.035
75.671,23:18:38.037
71.092,23:18:38.039
66.872,23:18:38.041
62.515,23:18:38.042
57.762,23:18:38.044
52.578,23:18:38.046
46.968,23:18:38.048
41.04,23:18:38.050
34.817,23:18:38.052
28.211,23:18:38.054
21.233,23:18:38.056
13.975,23:18:38.058
6.488,23:18:38.060
-1.193,23:18:38.062
-9.068,23:18:38.064
-17.19,23:18:38.066
-25.57,23:18:38.068
-34.185,23:18:38.070
-43.004,23:18:38.072
-51.983,23:18:38.074
-61.087,23:18:38.076
-70.291,23:18:38.078
-79.561,23:18:38.080
-88.858,23:18:38.082
-98.138,23:18:38.083
-107.346,23:18:38.085
-116.432,23:18:38.087
-125.348,23:18:38.089
-134.044,23:18:38.091
-142.471,23:18:38.093
-150.578,23:18:38.095
-158.309,23:18:38.097
-165.615,23:18:38.099
-172.453,23:18:38.101
-178.783,23:18:38.103
-184.573,23:18:38.105
-189.789,23:18:38.107
-194.399,23:18:38.109
-198.372,23:18:38.111
-201.682,23:18:38.113
-204.307,23:18:38.115
-206.229,23:18:38.117
-207.435,23:18:38.119
-207.914,23:18:38.121
-207.658,23:18:38.123
-206.667,23:18:38.125
-204.941,23:18:38.126
-202.491,23:18:38.128
-199.325,23:18:38.130
-195.46,23:18:38.132
-190.913,23:18:38.134
-185.707,23:18:38.136
-179.868,23:18:38.138
-173.426,23:18:38.140
-166.414,23:18:38.142
-158.868,23:18:38.144
-150.828,23:18:38.146
-142.335,23:18:38.148
-133.431,23:18:38.150
-124.162,23:18:38.152
-114.573,23:18:38.154
-104.712,23:18:38.156
-94.624,23:18:38.158
-84.357,23:18:38.160
-73.959,23:18:38.162
-63.473,23:18:38.164
-52.947,23:18:38.166
-42.423,23:18:38.167
-31.942,23:18:38.169
-21.545,23:18:38.171
-11.268,23:18:38.173
-1.146,23:18:38.175
8.788,23:18:38.177
18.506,23:18:38.179
27.983,23:18:38.181
37.194,23:18:38.183
46.121,23:18:38.185
54.747,23:18:38.187
63.059,23:18:38.189
71.048,23:18:38.191
78.706,23:18:38.193
86.031,23:18:38.195
93.023,23:18:38.197
99.684,23:18:38.199
106.021,23:18:38.201
112.042,23:18:38.203
117.758,23:18:38.205
123.184,23:18:38.207
128.335,23:18:38.208
133.227,23:18:38.210
137.881,23:18:38.212
142.317,23:18:38.214
146.557,23:18:38.216
150.622,23:18:38.218
154.534,23:18:38.220
158.315,23:18:38.222
161.986,23:18:38.224
165.57,23:18:38.226
169.087,23:18:38.228
172.559,23:18:38.230
176.001,23:18:38.232
179.434,23:18:38.234
182.873,23:18:38.236
186.335,23:18:38.238
189.833,23:18:38.240
193.377,23:18:38.242
196.974,23:18:38.244
200.63,23:18:38.246
204.347,23:18:38.248
208.132,23:18:38.250
211.987,23:18:38.251
215.913,23:18:38.253
219.909,23:18:38.255
223.971,23:18:38.257
228.092,23:18:38.259
232.267,23:18:38.261
236.488,23:18:38.263
240.743,23:18:38.265
245.016,23:18:38.267
249.291,23:18:38.269
253.547,23:18:38.271
257.773,23:18:38.273
261.955,23:18:38.275
266.084,23:18:38.277
270.153,23:18:38.279
274.13,23:18:38.281
277.985,23:18:38.283
281.688,23:18:38.285
285.204,23:18:38.287
288.533,23:18:38.289
291.674,23:18:38.291
294.599,23:18:38.292
297.294,23:18:38.294
299.758,23:18:38.296
301.976,23:18:38.298
304.014,23:18:38.300
305.929,23:18:38.302
307.602,23:18:38.304
308.949,23:18:38.306
309.903,23:18:38.308
310.342,23:18:38.310
310.336,23:18:38.312
309.969,23:18:38.314
309.094,23:18:38.316
307.637,23:18:38.318
305.853,23:18:38.320
303.909,23:18:38.322
302.026,23:18:38.324
300.575,23:18:38.326
299.51,23:18:38.328
298.707,23:18:38.330
298.222,23:18:38.332
297.903,23:18:38.333
297.216,23:18:38.335
296.598,23:18:38.337
297.363,23:18:38.339
299.856,23:18:38.341
303.393,23:18:38.343
304.183,23:18:38.345
296.043,23:18:38.347
276.254,23:18:38.349
248.08,23:18:38.351
220.56,23:18:38.353
204.486,23:18:38.355
205.149,23:18:38.357
218.662,23:18:38.359
234.514,23:18:38.361
242.822,23:18:38.363
239.045,23:18:38.365
225.342,23:18:38.367
208.413,23:18:38.369
193.151,23:18:38.371
181.095,23:18:38.373
171.649,23:18:38.375
162.637,23:18:38.376
153.01,23:18:38.378
143.002,23:18:38.380
132.75,23:18:38.382
122.424,23:18:38.384
111.989,23:18:38.386
101.184,23:18:38.388
89.928,23:18:38.390
78.265,23:18:38.392
66.179,23:18:38.394
53.653,23:18:38.396
40.75,23:18:38.398
27.55,23:18:38.400
14.144,23:18:38.402
0.613,23:18:38.404
-13.024,23:18:38.406
-26.768,23:18:38.408
-40.595,23:18:38.410
-54.473,23:18:38.412
-68.369,23:18:38.414
-82.258,23:18:38.416
-96.122,23:18:38.417
-109.942,23:18:38.419
-123.694,23:18:38.421
-137.35,23:18:38.423
-150.888,23:18:38.425
-164.291,23:18:38.427
-177.541,23:18:38.429
-190.618,23:18:38.431
-203.498,23:18:38.433
-216.147,23:18:38.435
-228.522,23:18:38.437
-240.583,23:18:38.439
-252.283,23:18:38.441
-263.575,23:18:38.443
-274.417,23:18:38.445
-284.742,23:18:38.447
